avtor,ocena,stevilo_ocen,stevilo_strani,cas_branja,nagrajena,id,naslov,url
Yasunari Kawabata,3.7,7,156,5-6 ur,False,snezna-dezela,Snežna dežela,https://www.dobreknjige.si/knjige/snezna-dezela/
Oriana Fallaci,4.3,4,93,3-4 ur,False,pismo-nikoli-rojenemu-otroku,Pismo nikoli rojenemu otroku,https://www.dobreknjige.si/knjige/pismo-nikoli-rojenemu-otroku/
Malba Tahan,4.0,2,199,6-7 ur,False,moz-ki-je-racunal,"Mož, ki je računal",https://www.dobreknjige.si/knjige/moz-ki-je-racunal/
Petra Soukupová,4.7,23,361,12-13 ur,False,pod-snegom,Pod snegom,https://www.dobreknjige.si/knjige/pod-snegom/
Edith Wharton,4.8,8,193,6-7 ur,False,poletje,Poletje,https://www.dobreknjige.si/knjige/poletje/
Bernardo Atxaga,4.0,2,467,15-16 ur,True,dnevi-nevade,Dnevi Nevade,https://www.dobreknjige.si/knjige/dnevi-nevade/
Tatjana Kokalj,0.0,0,230,7-8 ur,False,luza-v-cevlju,Luža v čevlju,https://www.dobreknjige.si/knjige/luza-v-cevlju/
Marko Pristov,0.0,0,156,5-6 ur,False,gozdic,Gózdič,https://www.dobreknjige.si/knjige/gozdic/
Manuel Baixauli,4.0,1,226,7-8 ur,False,peto-nadstropje,Peto nadstropje,https://www.dobreknjige.si/knjige/peto-nadstropje/
John Fante,0.0,0,211,7-8 ur,False,vprasaj-prah,Vprašaj prah,https://www.dobreknjige.si/knjige/vprasaj-prah/
J. L. Carr,3.9,7,144,4-5 ur,False,mesec-dni-na-podezelju,Mesec dni na podeželju,https://www.dobreknjige.si/knjige/mesec-dni-na-podezelju/
Emílios Solomú,4.5,4,226,7-8 ur,True,dnevnik-nezvestobe,Dnevnik nezvestobe,https://www.dobreknjige.si/knjige/dnevnik-nezvestobe/
William Gibson,3.0,1,309,10-11 ur,True,nevromant,Nevromant,https://www.dobreknjige.si/knjige/nevromant/
Sherman Alexie,4.6,23,255,8-9 ur,False,absolutno-resnicni-dnevnik-indijanca-s-polovicnim-delovnim-casom,Absolutno resnični dnevnik Indijanca s polovičnim delovnim č [...],https://www.dobreknjige.si/knjige/absolutno-resnicni-dnevnik-indijanca-s-polovicnim-delovnim-casom/
Marcus Hammerschmitt,0.0,0,168,5-6 ur,False,projekt-herkules,Projekt Herkules,https://www.dobreknjige.si/knjige/projekt-herkules/
Javier Cercas,4.3,4,86,2-3 ur,False,motiv,Motiv,https://www.dobreknjige.si/knjige/motiv/
Chris Carter,3.8,8,427,14-15 ur,False,klicatelj-tvoje-zivljenje-je-na-kocki-triler,Klicatelj : [tvoje življenje je na kocki : triler],https://www.dobreknjige.si/knjige/klicatelj-tvoje-zivljenje-je-na-kocki-triler/
Cees Nooteboom,0.0,0,101,3-4 ur,False,naslednja-zgodba,Naslednja zgodba,https://www.dobreknjige.si/knjige/naslednja-zgodba/
Oliver Sacks,5.0,2,59,1-2 ur,False,hvaleznost-2,Hvaležnost,https://www.dobreknjige.si/knjige/hvaleznost-2/
Ognjen Spahić,4.5,2,311,10-11 ur,True,polna-glava-radosti,Polna glava radosti,https://www.dobreknjige.si/knjige/polna-glava-radosti/
Chimamanda Ngozi Adichie,5.0,3,46,1-2 ur,False,vsi-moramo-biti-feministi,Vsi moramo biti feministi,https://www.dobreknjige.si/knjige/vsi-moramo-biti-feministi/
F. Scott Fitzgerald,4.0,3,87,2-3 ur,False,mladi-bogatas,Mladi bogataš,https://www.dobreknjige.si/knjige/mladi-bogatas/
Sebastijan Pregelj,4.7,3,291,9-10 ur,False,vdih-izdih,Vdih. Izdih.,https://www.dobreknjige.si/knjige/vdih-izdih/
Per J Andersson,4.3,14,299,9-10 ur,False,o-indijcu-ki-se-je-s-kolesom-peljal-vse-do-svedske-da-bi-tam-znova-nasel-svojo-veliko-ljubezen-resnicna-zgodba,"O Indijcu, ki se je s kolesom peljal vse do Švedske, da bi t [...]",https://www.dobreknjige.si/knjige/o-indijcu-ki-se-je-s-kolesom-peljal-vse-do-svedske-da-bi-tam-znova-nasel-svojo-veliko-ljubezen-resnicna-zgodba/
Cees Nooteboom,0.0,0,385,12-13 ur,False,vsi-sveti,Vsi sveti,https://www.dobreknjige.si/knjige/vsi-sveti/
,0.0,0,127,4-5 ur,False,tri-prste-pod-popkom-slovenske-ljudske-eroticne-nagajive-in-kvantarske-pesmi,"Tri prste pod popkom : slovenske ljudske erotične, nagajive [...]",https://www.dobreknjige.si/knjige/tri-prste-pod-popkom-slovenske-ljudske-eroticne-nagajive-in-kvantarske-pesmi/
Ignacy Karpowicz,5.0,1,629,20-21 ur,False,baladine-in-romance,Baladine in romance,https://www.dobreknjige.si/knjige/baladine-in-romance/
Stefan Zweig,3.8,4,96,3-4 ur,False,neznankino-pismo,Neznankino pismo,https://www.dobreknjige.si/knjige/neznankino-pismo/
Damjana Kenda Hussu,4.5,2,176,5-6 ur,False,adijo-hotel-mama,"Adijo, hotel mama",https://www.dobreknjige.si/knjige/adijo-hotel-mama/
Robert N Munsch,5.0,2,,,False,princesa-v-papirnati-vrecki,Princesa v papirnati vrečki,https://www.dobreknjige.si/knjige/princesa-v-papirnati-vrecki/
Maxine Hong Kingston,4.7,3,241,8-9 ur,False,bojevnica,Bojevnica,https://www.dobreknjige.si/knjige/bojevnica/
Ali Smith,0.0,0,344,11-12 ur,False,nakljucnost,Naključnost,https://www.dobreknjige.si/knjige/nakljucnost/
Gašper Kralj,5.0,1,213,7-8 ur,False,rok-trajanja,Rok trajanja,https://www.dobreknjige.si/knjige/rok-trajanja/
Igor Karlovšek,2.5,2,271,9-10 ur,False,bahamski-dokument,Bahamski dokument,https://www.dobreknjige.si/knjige/bahamski-dokument/
Julian Barnes,4.8,9,229,7-8 ur,False,hrumenje-casa,Hrumenje časa,https://www.dobreknjige.si/knjige/hrumenje-casa/
,4.6,8,396,13-14 ur,False,vitomil-zupan-vazno-je-priti-na-gric-zivljenje-in-delo-vitomila-zupana-1914-1987-biografija-dokumenti-novele-pricevanja,Vitomil Zupan : važno je priti na grič : življenje in delo V [...],https://www.dobreknjige.si/knjige/vitomil-zupan-vazno-je-priti-na-gric-zivljenje-in-delo-vitomila-zupana-1914-1987-biografija-dokumenti-novele-pricevanja/
Paul Auster,4.4,5,247,8-9 ur,False,brooklynske-norosti,Brooklynske norosti,https://www.dobreknjige.si/knjige/brooklynske-norosti/
Will Ferguson,4.0,1,302,10-11 ur,False,sreca,Sreča,https://www.dobreknjige.si/knjige/sreca/
Sten Nadolny,4.0,1,226,7-8 ur,False,bog-predrznosti,Bog predrznosti,https://www.dobreknjige.si/knjige/bog-predrznosti/
Drago Jančar,4.5,37,351,11-12 ur,True,in-ljubezen-tudi,In ljubezen tudi,https://www.dobreknjige.si/knjige/in-ljubezen-tudi/
Ljuba Prenner,4.9,7,155,5-6 ur,False,neznani-storilec-malomescanska-kriminalna-povest,Neznani storilec : malomeščanska kriminalna povest,https://www.dobreknjige.si/knjige/neznani-storilec-malomescanska-kriminalna-povest/
Aglaja Veteranyi,4.4,23,190,6-7 ur,False,zakaj-se-otrok-v-polenti-kuha,Zakaj se otrok v polenti kuha,https://www.dobreknjige.si/knjige/zakaj-se-otrok-v-polenti-kuha/
Pierre Boileau,3.5,2,131,4-5 ur,False,hudicevki,Hudičevki,https://www.dobreknjige.si/knjige/hudicevki/
Margaret Mazzantini,4.3,26,389,12-13 ur,False,sijaj,Sijaj,https://www.dobreknjige.si/knjige/sijaj/
Želimir Periš,5.0,1,239,7-8 ur,False,mucenice,Mučenice,https://www.dobreknjige.si/knjige/mucenice/
Valeria Luiselli,5.0,2,175,5-6 ur,False,breztezni,Breztežni,https://www.dobreknjige.si/knjige/breztezni/
Manca G. Renko,4.4,10,64,2-3 ur,False,lastno-zivljenje-srecanje-z-zofko-kveder,Lastno življenje : srečanje z Zofko Kveder,https://www.dobreknjige.si/knjige/lastno-zivljenje-srecanje-z-zofko-kveder/
Jurga Ivanauskaite,4.0,2,306,10-11 ur,False,carovnica-in-dez,Čarovnica in dež,https://www.dobreknjige.si/knjige/carovnica-in-dez/
Charlaine Harris,0.0,0,271,9-10 ur,False,truplo-v-spalnici,Truplo v spalnici,https://www.dobreknjige.si/knjige/truplo-v-spalnici/
Alexandre Seurat,4.8,13,117,3-4 ur,False,neroda,Neroda,https://www.dobreknjige.si/knjige/neroda/
Toni Morrison,4.2,14,197,6-7 ur,True,bog-pomagaj-otroku,Bog pomagaj otroku,https://www.dobreknjige.si/knjige/bog-pomagaj-otroku/
Sophie Hannah,0.0,0,340,11-12 ur,False,zaprta-krsta-novi-primer-hercula-poirota,Zaprta krsta : novi primer Hercula Poirota,https://www.dobreknjige.si/knjige/zaprta-krsta-novi-primer-hercula-poirota/
Robin Hobb,4.3,4,484,16-17 ur,False,morilcev-vajenec-i-knjiga-trilogije-dinastije-videc,Morilčev vajenec : I. knjiga trilogije Dinastije Videc,https://www.dobreknjige.si/knjige/morilcev-vajenec-i-knjiga-trilogije-dinastije-videc/
Vinko Möderndorfer,5.0,1,153,5-6 ur,False,konec-zgodbe,Konec zgodbe,https://www.dobreknjige.si/knjige/konec-zgodbe/
Evie Wyld,4.7,9,236,7-8 ur,True,vseh-ptic-petje,Vseh ptic petje,https://www.dobreknjige.si/knjige/vseh-ptic-petje/
Dragan Petrovec,3.9,14,94,3-4 ur,False,fanci-s-psihiatrije-in-se-hujse-zgodbe,Fanči s psihiatrije in še hujše zgodbe,https://www.dobreknjige.si/knjige/fanci-s-psihiatrije-in-se-hujse-zgodbe/
Hanne Ørstavik,4.6,7,221,7-8 ur,False,v-bordeauxu-je-odprt-prostor,V Bordeauxu je odprt prostor,https://www.dobreknjige.si/knjige/v-bordeauxu-je-odprt-prostor/
Michael Morpurgo,0.0,0,,,False,nezni-velikan,Nežni velikan,https://www.dobreknjige.si/knjige/nezni-velikan/
Arnold Stadler,0.0,0,212,7-8 ur,False,smrt-in-jaz-midva,"Smrt in jaz, midva",https://www.dobreknjige.si/knjige/smrt-in-jaz-midva/
Mojca Kumerdej,5.0,1,268,8-9 ur,False,fragma,Fragma,https://www.dobreknjige.si/knjige/fragma/
Lucy Hughes &#8211; Hallett,5.0,2,685,22-23 ur,True,scuka-gabriele-dannunzio-pesnik-zapeljivec-in-vojni-pridigar,"Ščuka : Gabriele d&#8217;Annunzio : pesnik, zapeljivec in vo [...]",https://www.dobreknjige.si/knjige/scuka-gabriele-dannunzio-pesnik-zapeljivec-in-vojni-pridigar/
Hendrik Groen,4.3,25,393,13-14 ur,False,skrivni-dnevnik-hendrika-groena-starega-83-let-in-1-4,"Skrivni dnevnik Hendrika Groena, starega 83 let in 1/4",https://www.dobreknjige.si/knjige/skrivni-dnevnik-hendrika-groena-starega-83-let-in-1-4/
Gabriele D&#8217;Annunzio,0.0,0,343,11-12 ur,False,zmagoslavje-smrti,Zmagoslavje smrti,https://www.dobreknjige.si/knjige/zmagoslavje-smrti/
Els Beerten,4.8,11,486,16-17 ur,False,vsi-si-zelimo-nebes,Vsi si želimo nebes,https://www.dobreknjige.si/knjige/vsi-si-zelimo-nebes/
Tone Peršak,4.7,7,255,8-9 ur,False,stanja,Stanja,https://www.dobreknjige.si/knjige/stanja/
Robert Markuš,4.9,7,360,12-12 ur,False,legija-anekdote-in-tradicija,Legija : anekdote in tradicija,https://www.dobreknjige.si/knjige/legija-anekdote-in-tradicija/
Beverley Naidoo,0.0,0,242,8-9 ur,False,druga-stran-resnice,Druga stran resnice,https://www.dobreknjige.si/knjige/druga-stran-resnice/
David Hill,5.0,1,147,4-5 ur,False,korak-pred-plameni,Korak pred plameni,https://www.dobreknjige.si/knjige/korak-pred-plameni/
Aleksandra Kocmut,1.0,1,95,3-4 ur,False,jedci-rzi,Jedci rži,https://www.dobreknjige.si/knjige/jedci-rzi/
Damir Zlatar Frey,4.0,3,501,16-17 ur,False,kristalni-kardinal,Kristalni kardinal,https://www.dobreknjige.si/knjige/kristalni-kardinal/
Miljenko Jergović,4.3,4,182,6-7 ur,False,psi-na-jezeru,Psi na jezeru,https://www.dobreknjige.si/knjige/psi-na-jezeru/
Leo F Buscaglia,0.0,0,,,False,jesen-listka-timija-zgodba-o-zivljenju-za-vse-starosti,Jesen listka Timija : zgodba o življenju za vse starosti,https://www.dobreknjige.si/knjige/jesen-listka-timija-zgodba-o-zivljenju-za-vse-starosti/
Elif Shafak,4.6,37,428,14-15 ur,False,cast,Čast,https://www.dobreknjige.si/knjige/cast/
Manuel Manzano,2.7,3,153,5-6 ur,False,zajec-in-pol,Zajec in pol,https://www.dobreknjige.si/knjige/zajec-in-pol/
Juan Eslava Galán,4.0,2,236,7-8 ur,False,mula,Mula,https://www.dobreknjige.si/knjige/mula/
M Beaton,4.0,4,151,5-6 ur,False,agatha-raisin-in-pohodniki-dembleya,Agatha Raisin in Pohodniki Dembleya,https://www.dobreknjige.si/knjige/agatha-raisin-in-pohodniki-dembleya/
Johan Unenge,4.0,1,253,8-9 ur,True,moje-vzporedno-zivljenje-roman-s-stripom,Moje vzporedno življenje : [roman s stripom],https://www.dobreknjige.si/knjige/moje-vzporedno-zivljenje-roman-s-stripom/
Carlos Fuentes,3.7,3,235,7-8 ur,False,diana-ali-samotna-boginja-lova,Diana ali Samotna boginja lova,https://www.dobreknjige.si/knjige/diana-ali-samotna-boginja-lova/
Rómulo Gallegos,0.0,0,252,8-9 ur,False,canaima,Canaima,https://www.dobreknjige.si/knjige/canaima/
Aleksandar Hemon,0.0,0,299,9-10 ur,False,projekt-lazar,Projekt Lazar,https://www.dobreknjige.si/knjige/projekt-lazar/
Roman Rozina,0.0,0,191,6-7 ur,False,zlocin-in-ljubezen,Zločin in ljubezen,https://www.dobreknjige.si/knjige/zlocin-in-ljubezen/
Aleš Šteger,5.0,1,331,11-12 ur,False,odpusti,Odpusti,https://www.dobreknjige.si/knjige/odpusti/
Antonio Scurati,4.2,12,213,7-8 ur,False,nezvesti-oce,Nezvesti oče,https://www.dobreknjige.si/knjige/nezvesti-oce/
Cees Nooteboom,4.0,2,189,6-7 ur,False,rituali,Rituali,https://www.dobreknjige.si/knjige/rituali/
Lev Nikolaevič Tolstoj,0.0,0,486,16-17 ur,False,vstajenje,Vstajenje,https://www.dobreknjige.si/knjige/vstajenje/
James M. Cain,4.7,7,306,10-11 ur,False,koktejlarca,Koktejlar&#8217;ca,https://www.dobreknjige.si/knjige/koktejlarca/
Jo Nesbø,4.1,19,357,11-12 ur,False,netopir,Netopir,https://www.dobreknjige.si/knjige/netopir/
Matjaž Lunaček,4.7,7,274,9-10 ur,False,telovadci-nad-prepadom-kratki-eseji,Telovadci nad prepadom : kratki eseji,https://www.dobreknjige.si/knjige/telovadci-nad-prepadom-kratki-eseji/
Linda Green,4.5,12,311,10-11 ur,False,ko-sem-zaprla-oci,Ko sem zaprla oči,https://www.dobreknjige.si/knjige/ko-sem-zaprla-oci/
Elena Ferrante,4.6,51,311,10-11 ur,False,genialna-prijateljica-otrostvo-odrascanje-2,"Genialna prijateljica : otroštvo, odraščanje",https://www.dobreknjige.si/knjige/genialna-prijateljica-otrostvo-odrascanje-2/
Tessa Afshar,4.3,8,304,10-11 ur,False,na-polju-milosti,Na polju milosti,https://www.dobreknjige.si/knjige/na-polju-milosti/
Christiaan Weijts,0.0,0,296,9-10 ur,False,cl-285b,Čl. 285b,https://www.dobreknjige.si/knjige/cl-285b/
Hanif Kureishi,4.4,9,291,9-10 ur,False,zadnja-beseda,Zadnja beseda,https://www.dobreknjige.si/knjige/zadnja-beseda/
Kamel Daoud,4.9,7,183,6-7 ur,False,primer-meursault,Primer Meursault,https://www.dobreknjige.si/knjige/primer-meursault/
Colin Barrett,4.6,9,246,8-9 ur,False,mladi-volkovi,Mladi volkovi,https://www.dobreknjige.si/knjige/mladi-volkovi/
Josip Osti,4.9,7,425,14-15 ur,False,duhovi-hise-heinricha-bolla-kalejdoskopski-roman-zgrajen-iz-zgodb-predvsem-o-pisateljih,"Duhovi hiše Heinricha Bölla : (kalejdoskopski roman, zgrajen [...]",https://www.dobreknjige.si/knjige/duhovi-hise-heinricha-bolla-kalejdoskopski-roman-zgrajen-iz-zgodb-predvsem-o-pisateljih/
Stefanie Lazai,0.0,0,,,False,benjamin-moja-mama-je-posebna,Benjamin : moja mama je posebna,https://www.dobreknjige.si/knjige/benjamin-moja-mama-je-posebna/
Quentin Blake,5.0,1,,,False,benjamin,Benjamin,https://www.dobreknjige.si/knjige/benjamin/
Agatha Christie,4.8,14,260,8-9 ur,False,bilo-jih-je-deset,Bilo jih je deset&#8230;,https://www.dobreknjige.si/knjige/bilo-jih-je-deset/
Pete Johnson,2.5,2,199,6-7 ur,False,potegavscina,Potegavščina,https://www.dobreknjige.si/knjige/potegavscina/
Irena Svetek,4.8,13,171,5-6 ur,False,zaspi-mala-moja-zaspi,"Zaspi, mala moja, zaspi",https://www.dobreknjige.si/knjige/zaspi-mala-moja-zaspi/
Robin Hjordis Stevenson,5.0,1,118,3-4 ur,False,ne-brez-boja,Ne brez boja,https://www.dobreknjige.si/knjige/ne-brez-boja/
Yasunari Kawabata,5.0,2,127,4-5 ur,True,jezero-3,Jezero,https://www.dobreknjige.si/knjige/jezero-3/
Jiři Bezlaj,3.6,14,111,3-4 ur,False,evangelij-za-pitbule,Evangelij za pitbule,https://www.dobreknjige.si/knjige/evangelij-za-pitbule/
Donna Tartt,4.6,44,571,19-20 ur,False,skrivna-zgodovina,Skrivna zgodovina,https://www.dobreknjige.si/knjige/skrivna-zgodovina/
Igor Karlovšek,4.5,6,247,8-9 ur,False,teci,Teci!,https://www.dobreknjige.si/knjige/teci/
Philip Roth,4.5,4,374,12-13 ur,True,cloveski-madez,Človeški madež,https://www.dobreknjige.si/knjige/cloveski-madez/
Miguel Barnet,4.3,3,203,6-7 ur,False,zivljenje-ubeznega-suznja,Življenje ubežnega sužnja,https://www.dobreknjige.si/knjige/zivljenje-ubeznega-suznja/
Knut Hamsun,4.4,12,224,7-8 ur,True,glad,Glad,https://www.dobreknjige.si/knjige/glad/
Laurent Gaudé,3.0,2,253,8-9 ur,True,sonce-scortovih-roman,Sonce Scortovih : roman,https://www.dobreknjige.si/knjige/sonce-scortovih-roman/
Amin Maalouf,3.7,3,253,8-9 ur,True,taniosova-pecina-roman,Taniosova pečina : roman,https://www.dobreknjige.si/knjige/taniosova-pecina-roman/
Helen Zahavi,0.0,0,206,6-7 ur,False,umazani-vikend,Umazani vikend,https://www.dobreknjige.si/knjige/umazani-vikend/
Julie B. Bonnie,4.0,2,175,5-6 ur,False,soba-2,Soba 2,https://www.dobreknjige.si/knjige/soba-2/
Ljuba Krušič,0.0,0,93,3-4 ur,False,ujeta-v-pajcevini,Ujeta v pajčevini,https://www.dobreknjige.si/knjige/ujeta-v-pajcevini/
Sophie Kasiki,4.1,12,185,6-7 ur,False,v-pekel-in-nazaj,V pekel in nazaj,https://www.dobreknjige.si/knjige/v-pekel-in-nazaj/
Leah Remini,4.5,11,314,10-11 ur,False,zgaga-kako-sem-prezivela-hollywood-in-scientologijo,Zgaga : kako sem preživela Hollywood in scientologijo,https://www.dobreknjige.si/knjige/zgaga-kako-sem-prezivela-hollywood-in-scientologijo/
Edith Wharton,4.0,8,107,3-4 ur,False,zatocisce-pasti-materine-ljubezni,Zatočišče : pasti materine ljubezni,https://www.dobreknjige.si/knjige/zatocisce-pasti-materine-ljubezni/
Gilles Leroy,2.5,2,205,6-7 ur,True,alabama-song,Alabama song,https://www.dobreknjige.si/knjige/alabama-song/
Irena Velikonja,4.0,2,156,5-6 ur,False,tasa,Taša,https://www.dobreknjige.si/knjige/tasa/
Lin Fabiani,4.0,2,253,8-9 ur,False,ona-in-leon,Ona in Leon,https://www.dobreknjige.si/knjige/ona-in-leon/
Emmanuel Carrère,3.8,4,300,10-10 ur,False,ruski-roman,Ruski roman,https://www.dobreknjige.si/knjige/ruski-roman/
Barbara Pešut,4.6,12,144,4-5 ur,False,prvi-polcas-slastne-cetrtine,Prvi polčas : slastne četrtine,https://www.dobreknjige.si/knjige/prvi-polcas-slastne-cetrtine/
Virginia Woolf,4.6,9,201,6-7 ur,False,med-dejanji,Med dejanji,https://www.dobreknjige.si/knjige/med-dejanji/
Charles Bukowski,4.7,3,189,6-7 ur,False,posta,Pošta,https://www.dobreknjige.si/knjige/posta/
Alja Furlan,3.5,2,80,2-3 ur,False,mama-moji-punci-je-ime-depra,"Mama, moji punci je ime Depra",https://www.dobreknjige.si/knjige/mama-moji-punci-je-ime-depra/
Pierre Louis Boileau,0.0,0,135,4-5 ur,False,gostisce-hibiscus,Gostišče Hibiscus,https://www.dobreknjige.si/knjige/gostisce-hibiscus/
Maja Gal Štromar,0.0,0,151,5-6 ur,False,boginja-z-zamudo,Boginja z zamudo,https://www.dobreknjige.si/knjige/boginja-z-zamudo/
Hugo Claus,4.8,9,853,28-29 ur,False,zalost-belgije,Žalost Belgije,https://www.dobreknjige.si/knjige/zalost-belgije/
Faruk Šehić,4.2,6,199,6-7 ur,True,knjiga-o-uni,Knjiga o Uni,https://www.dobreknjige.si/knjige/knjiga-o-uni/
Jenny Valentine,3.3,4,155,5-6 ur,True,kako-sem-spoznal-violet-park,Kako sem spoznal Violet Park,https://www.dobreknjige.si/knjige/kako-sem-spoznal-violet-park/
Gérard Depardieu,4.6,14,170,5-6 ur,False,tako-se-je-zgodilo,Tako se je zgodilo,https://www.dobreknjige.si/knjige/tako-se-je-zgodilo/
Jure Jakob,5.0,2,119,3-4 ur,True,hise-in-drugi-prosti-spisi,Hiše in drugi prosti spisi,https://www.dobreknjige.si/knjige/hise-in-drugi-prosti-spisi/
Allison Pataki,4.6,12,446,14-15 ur,False,sisi-samosvoja-cesarica,Sisi : samosvoja cesarica,https://www.dobreknjige.si/knjige/sisi-samosvoja-cesarica/
Thomas Bernhard,4.7,3,351,11-12 ur,False,mraz,Mraz,https://www.dobreknjige.si/knjige/mraz/
Lawrence Schimel,5.0,1,31,1-2 ur,False,sosedje-in-prijatelji,Sosedje in prijatelji,https://www.dobreknjige.si/knjige/sosedje-in-prijatelji/
Babette Cole,4.5,2,,,False,vsega-po-dvoje,Vsega po dvoje,https://www.dobreknjige.si/knjige/vsega-po-dvoje/
Evald Flisar,5.0,1,310,10-11 ur,False,noro-zivljenje,Noro življenje,https://www.dobreknjige.si/knjige/noro-zivljenje/
Stephen Greenblatt,4.5,8,381,12-13 ur,False,will-in-svet-kako-je-shakespeare-postal-shakespeare,Will in svet: kako je Shakespeare postal Shakespeare,https://www.dobreknjige.si/knjige/will-in-svet-kako-je-shakespeare-postal-shakespeare/
Pearl S. Buck,0.0,0,77,2-3 ur,False,moja-puncka-ne-bo-nikoli-odrasla,Moja punčka ne bo nikoli odrasla,https://www.dobreknjige.si/knjige/moja-puncka-ne-bo-nikoli-odrasla/
Veronika Simoniti,4.7,3,234,7-8 ur,False,kameno-seme,Kameno seme,https://www.dobreknjige.si/knjige/kameno-seme/
Andrzej Szczypiorski,5.0,2,136,4-5 ur,False,masa-za-mesto-arras,Maša za mesto Arras,https://www.dobreknjige.si/knjige/masa-za-mesto-arras/
Irena Velikonja,5.0,1,271,9-10 ur,False,naj-pociva-v-miru,Naj počiva v miru,https://www.dobreknjige.si/knjige/naj-pociva-v-miru/
Barbara Majcenovič Kline,5.0,1,,,False,most-materinske-ljubezni,Most materinske ljubezni,https://www.dobreknjige.si/knjige/most-materinske-ljubezni/
Fabrizio Silei,5.0,2,,,False,avtobus-rose-parks,Avtobus Rose Parks,https://www.dobreknjige.si/knjige/avtobus-rose-parks/
Mariama Bâ,5.0,4,137,4-5 ur,False,dolgo-dolgo-pismo,Dolgo dolgo pismo,https://www.dobreknjige.si/knjige/dolgo-dolgo-pismo/
Vanessa Diffenbaugh,4.7,13,349,11-12 ur,False,nikoli-nismo-prosili-za-krila,Nikoli nismo prosili za krila,https://www.dobreknjige.si/knjige/nikoli-nismo-prosili-za-krila/
Fridrik Erlingsson,4.0,2,134,4-5 ur,False,benjamin-dove,Benjamin Dove,https://www.dobreknjige.si/knjige/benjamin-dove/
Annet Huizing,4.4,16,143,4-5 ur,False,kako-sem-po-nesreci-napisala-knjigo,Kako sem po nesreči napisala knjigo,https://www.dobreknjige.si/knjige/kako-sem-po-nesreci-napisala-knjigo/
George Orwell,4.6,11,377,12-13 ur,False,burmanski-dnevi,Burmanski dnevi,https://www.dobreknjige.si/knjige/burmanski-dnevi/
Sophie Hannah,4.8,10,441,14-15 ur,False,tocka-resitve,Točka rešitve,https://www.dobreknjige.si/knjige/tocka-resitve/
Irena Velikonja,4.5,2,148,4-5 ur,False,zivljenje-brez-psa,Življenje brez psa,https://www.dobreknjige.si/knjige/zivljenje-brez-psa/
Alfred Döblin,4.3,3,469,15-16 ur,False,berlin-alexanderplatz,"Berlin, Alexanderplatz",https://www.dobreknjige.si/knjige/berlin-alexanderplatz/
Janice Galloway,4.8,5,314,10-11 ur,False,dihati-moras-to-je-vsa-skrivnost,"Dihati moraš, to je vsa skrivnost",https://www.dobreknjige.si/knjige/dihati-moras-to-je-vsa-skrivnost/
Karl Ove Knausgård,4.6,16,,,False,moj-boj,Moj boj,https://www.dobreknjige.si/knjige/moj-boj/
Yasmina Khadra,4.3,3,312,10-11 ur,False,bagdadske-sirene,Bagdadske sirene,https://www.dobreknjige.si/knjige/bagdadske-sirene/
Sharon E. Mckay,5.0,1,264,8-9 ur,False,nevihta-nad-kandaharjem,Nevihta nad Kandaharjem,https://www.dobreknjige.si/knjige/nevihta-nad-kandaharjem/
Frédéric Beigbeder,5.0,3,251,8-9 ur,False,oona-salinger,Oona &#038; Salinger,https://www.dobreknjige.si/knjige/oona-salinger/
Evald Flisar,4.4,5,359,11-12 ur,False,besede-nad-oblaki,Besede nad oblaki,https://www.dobreknjige.si/knjige/besede-nad-oblaki/
Samuel Beckett,5.0,3,155,5-6 ur,True,mercier-in-camier,Mercier in Camier,https://www.dobreknjige.si/knjige/mercier-in-camier/
Michael Katz Krefeld,4.5,11,362,12-13 ur,False,beli-angeli,Beli angeli,https://www.dobreknjige.si/knjige/beli-angeli/
Bernard Malamud,0.0,0,395,13-14 ur,False,novo-zivljenje-2,Novo življenje,https://www.dobreknjige.si/knjige/novo-zivljenje-2/
William Styron,4.5,4,729,24-25 ur,True,sophiejina-odlocitev,Sophiejina odločitev,https://www.dobreknjige.si/knjige/sophiejina-odlocitev/
Marko Sosič,5.0,1,83,2-3 ur,False,ovsene-besede-parole-davena,Ovsene besede (Parole d`avena),https://www.dobreknjige.si/knjige/ovsene-besede-parole-davena/
Robotham Michael,4.5,2,447,14-15 ur,False,nocni-trajekt,Nočni trajekt,https://www.dobreknjige.si/knjige/nocni-trajekt/
John Edward Williams,4.7,34,334,11-12 ur,False,stoner,Stoner,https://www.dobreknjige.si/knjige/stoner/
Jill Alexander Essbaum,4.4,19,299,9-10 ur,False,dobra-zena,Dobra žena,https://www.dobreknjige.si/knjige/dobra-zena/
Irène Némirovsky,4.4,10,76,2-3 ur,False,ples,Ples,https://www.dobreknjige.si/knjige/ples/
Jojo Moyes,4.4,26,550,18-19 ur,False,zadnje-ljubezensko-pismo,Zadnje ljubezensko pismo,https://www.dobreknjige.si/knjige/zadnje-ljubezensko-pismo/
Jure Černič,5.0,1,157,5-6 ur,False,bebo-o-fantu-ki-je-bil-malo-tako,"Bebo : o fantu, ki je bil malo tako",https://www.dobreknjige.si/knjige/bebo-o-fantu-ki-je-bil-malo-tako/
Štefan Kardoš,4.5,2,189,6-7 ur,True,rizling-polka,Rizling polka,https://www.dobreknjige.si/knjige/rizling-polka/
